Duke Class Name,Duke Class Code,Duke Description,Cornell Class Name,Cornell Class Code,Top 5,Similarities
Introduction to African American Studies,AAAS 102,"A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy",African American History From 1865,AMST 1595,"['amst3525', 'engl3525', 'hist2981', 'asian2281', 'fgss2281']","[0.77069163, 0.7698357, 0.76388866, 0.7627435, 0.7626548]"
"Survival Arabic: Arabic Language and Culture of Lebanon, Jordan, and Palestine",ARABIC 99,"Learning the basic elements of the Arabic language and culture of in Jordan, Lebanon, and Palestine (Shami/Levantine Arabic); developing listening, speaking, reading, writing and cultural proficiencies of the spoken language of this region, memorizing basic survival and communication language skills, learning how to write and read the Arabic alphabet in Modern standard Arabic; Introducing aspects of daily life, society and culture of these three countries. Open to students who have no prior exposure to Arabic language instruction before coming to Duke, and to students who are interested in doing civic engagement or study abroad in the Arabic speaking world.",Elementary Arabic I,ARAB 1201,"['fren2092', 'asl4410', 'ling4406', 'yorub1108', 'span1250']","[0.8330232, 0.8323935, 0.8322316, 0.83106405, 0.8308713]"
Introduction to World Art History from 1200 to the Present,ARTHIST 102D,"An expansive investigation of the history of art, from the Renaissance to the present, including non-Western visual traditions, art historical methods and theories placed in dynamic interdisciplinary dialogues across the humanities, social sciences, and sciences, and involving wide perspectives, intersecting ideas, and the capacity to observe works of art in museums, galleries, and installations throughout the world.",Art Histories: An Introduction,ARTH 1100,"['amst3525', 'engl3525', 'arch5402', 'fsad4025', 'fsad6025']","[0.7458704, 0.7446756, 0.7444233, 0.74047387, 0.7403289]"
Introductory Biochemistry II,BIOCHEM 302,"Structure, function, and biosynthesis of biological macromolecules and regulation of their synthesis. Intermediary metabolism and metabolic utilization of energy. Biochemistry of biological membranes, receptors, and signal transduction via membrane receptors.","Principles of Biochemistry, Individualized Instruction",BIOMG 3300,"['cee5510', 'ansc6270', 'ansc4270', 'bioap6270', 'cee4510']","[0.7286097, 0.7277576, 0.7271508, 0.7267575, 0.7239134]"
Organic Chemistry I,CHEM 201DL,"The structures and reactions of the compounds of carbon and the impact of selected organic compounds on society. Laboratory: techniques of separation, organic reactions and preparations, and systematic identification of compounds by their spectral and chemical properties.",Introduction to Experimental Organic Chemistry,CHEM 2510,"['mse6060', 'mse5425', 'chem6650', 'cee5510', 'chem6860']","[0.7505207, 0.7500857, 0.74671805, 0.7387689, 0.7362889]"
Data Structures and Algorithms,COMPSCI 201,"Analysis, use, and design of data structures and algorithms using an object-oriented language like Java to solve computational problems. Emphasis on abstraction including interfaces and abstract data types for lists, trees, sets, tables/maps, and graphs. Implementation and evaluation of programming techniques including recursion. Intuitive and rigorous analysis of algorithms.",Object-Oriented Programming and Data Structures,CS 2110,"['cs2110', 'engrd2110', 'aep5380', 'cs6740', 'math3850']","[0.8139909, 0.80928564, 0.8004504, 0.7912731, 0.7902963]"
Introduction to Operating Systems,COMPSCI 310,"Basic concepts and principles of multiprogrammed operating systems. Processes, interprocess communication, CPU scheduling, mutual exclusion, deadlocks, memory management, I/O devices, file systems, protection mechanisms. ",Operating Systems,CS 4410,"['ece5740', 'cs2110', 'cs4420', 'cs4410', 'ece4750']","[0.752505, 0.7466475, 0.746409, 0.7458972, 0.74548686]"
Introduction to Artificial Intelligence,COMPSCI 370D,"Algorithms and representations used in artificial intelligence. Introduction and implementation of algorithms for search, planning, decision, theory, logic, Bayesian networks, robotics and machine learning.",Foundations of Artificial Intelligence,CS 4700,"['aem7040', 'aep5380', 'math6150', 'math3850', 'phil3340']","[0.7604528, 0.75235134, 0.752295, 0.74969447, 0.74881667]"
First Year Chinese for Bilingual Learners,CHINESE 131,Designed for students who were raised in a Chinese-speaking environment and who can converse about personal information or daily topics but have little or no reading and writing skills in Mandarin Chinese. Gain knowledge of the etymologies of Chinese characters and writing system. Substantial work on the development of reading and writing competencies in Chinese while continuing to improve aural understanding and speaking competency. Topics focus on issues concerning the aspects of bilingual and bicultural experiences specifically addressed for Chinese heritage learners.,Beginning Chinese Reading and Writing for Students of Chinese Heritage I,CHIN 1109,"['psych4210', 'chin5509', 'chin3309', 'hd4210', 'ling4406']","[0.8270463, 0.826743, 0.8260095, 0.82576245, 0.82385445]"
Elementary Japanese for Learners with Kanji Background,JPN 121,Elementary Japanese for beginning learners knowing kanji; thorough mastery of the basic structure of Japanese through aural-oral exercises and practice; develop grammatical accuracy and socially appropriate language use; carry on basic daily conversations,Elementary Japanese I,JAPAN 1101,"['turk1330', 'asl4410', 'ling4406', 'span1250', 'lsp1250']","[0.7812668, 0.7809641, 0.7805023, 0.7796888, 0.7796649]"
